Family,Genus,Species,RecordID,ANS
,,,,
Leptodactylidae,Adenomera,AdenomeraAndre,1,0
Leptodactylidae,Adenomera,AdenomeraAndre,2,
Leptodactylidae,Adenomera,AdenomeraAndre,3,
Leptodactylidae,Adenomera,AdenomeraAndre,4,
Leptodactylidae,Adenomera,AdenomeraAndre,5,
Leptodactylidae,Adenomera,AdenomeraAndre,6,
Leptodactylidae,Adenomera,AdenomeraAndre,7,
Leptodactylidae,Adenomera,AdenomeraAndre,8,
Leptodactylidae,Adenomera,AdenomeraAndre,8,
Dendrobatidae,Ameerega,Ameeregatrivittata,9,1
Dendrobatidae,Ameerega,Ameeregatrivittata,10,
Dendrobatidae,Ameerega,Ameeregatrivittata,11,
Dendrobatidae,Ameerega,Ameeregatrivittata,12,
Dendrobatidae,Ameerega,Ameeregatrivittata,13,
Leptodactylidae,Adenomera,AdenomeraHylaedactylus,14,2
Leptodactylidae,Adenomera,AdenomeraHylaedactylus,15,
Leptodactylidae,Adenomera,AdenomeraHylaedactylus,16,
Leptodactylidae,Adenomera,AdenomeraHylaedactylus,17,
Leptodactylidae,Adenomera,AdenomeraHylaedactylus,18,
Leptodactylidae,Adenomera,AdenomeraHylaedactylus,19,
Leptodactylidae,Adenomera,AdenomeraHylaedactylus,20,
Leptodactylidae,Adenomera,AdenomeraHylaedactylus,21,
Leptodactylidae,Adenomera,AdenomeraHylaedactylus,22,
Leptodactylidae,Adenomera,AdenomeraHylaedactylus,23,
Leptodactylidae,Adenomera,AdenomeraHylaedactylus,24,
Hylidae,Dendropsophus,HylaMinuta,25,3
Hylidae,Dendropsophus,HylaMinuta,26,
Hylidae,Dendropsophus,HylaMinuta,27,
Hylidae,Dendropsophus,HylaMinuta,28,
Hylidae,Dendropsophus,HylaMinuta,29,
Hylidae,Dendropsophus,HylaMinuta,30,
Hylidae,Dendropsophus,HylaMinuta,31,
Hylidae,Dendropsophus,HylaMinuta,32,
Hylidae,Dendropsophus,HylaMinuta,33,
Hylidae,Dendropsophus,HylaMinuta,34,
Hylidae,Dendropsophus,HylaMinuta,35,
Hylidae,Hypsiboas,HypsiboasCinerascens,36,4
Hylidae,Hypsiboas,HypsiboasCinerascens,37,
Hylidae,Hypsiboas,HypsiboasCinerascens,38,
Hylidae,Hypsiboas,HypsiboasCinerascens,39,
Hylidae,Hypsiboas,HypsiboasCordobae,40,5
Hylidae,Hypsiboas,HypsiboasCordobae,41,
Hylidae,Hypsiboas,HypsiboasCordobae,42,
Hylidae,Hypsiboas,HypsiboasCordobae,43,
Leptodactylidae,Leptodactylus,LeptodactylusFuscus,44,6
Leptodactylidae,Leptodactylus,LeptodactylusFuscus,45,
Leptodactylidae,Leptodactylus,LeptodactylusFuscus,46,
Leptodactylidae,Leptodactylus,LeptodactylusFuscus,47,
Hylidae,Osteocephalus,OsteocephalusOophagus,48,7
Hylidae,Osteocephalus,OsteocephalusOophagus,49,
Hylidae,Osteocephalus,OsteocephalusOophagus,50,
Bufonidae,Rhinella,Rhinellagranulosa,51,8
Bufonidae,Rhinella,Rhinellagranulosa,52,
Bufonidae,Rhinella,Rhinellagranulosa,53,
Bufonidae,Rhinella,Rhinellagranulosa,54,
Bufonidae,Rhinella,Rhinellagranulosa,55,
Hylidae,Scinax,ScinaxRuber,56,9
Hylidae,Scinax,ScinaxRuber,57,
Hylidae,Scinax,ScinaxRuber,58,
Hylidae,Scinax,ScinaxRuber,59,
Hylidae,Scinax,ScinaxRuber,60,
